,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
2330,223.64,0.0,0.66,92.98,3.67,37.2,78.88,1.17,4
2331,220.3,0.0,0.79,95.84,3.76,34.49,72.36,1.11,4
2332,220.3,0.01,0.99,101.57,3.99,32.03,67.05,0.93,4
2333,220.3,0.04,0.85,108.72,4.65,28.6,60.75,0.73,4
2334,220.3,0.08,0.81,110.15,4.83,27.45,57.71,0.75,4
2335,223.64,0.1,0.81,111.58,5.31,28.15,58.89,0.87,4
2336,223.64,0.07,0.49,117.3,6.08,24.65,52.03,0.49,4
2337,223.64,0.05,0.37,118.73,5.25,22.72,49.12,0.44,3
2338,226.97,0.05,0.34,115.87,4.71,22.5,48.9,0.49,3
2339,226.97,0.04,0.32,115.87,3.79,21.1,45.84,0.47,3
2340,223.64,0.04,0.32,118.73,2.92,19.35,41.74,0.4,3
2341,223.64,0.04,0.35,120.16,2.41,18.58,40.25,0.41,3
2342,226.97,0.05,0.54,118.73,1.91,17.89,39.07,0.54,3
2343,226.97,0.04,0.92,118.73,1.46,17.15,37.38,0.7,3
2344,226.97,0.01,1.31,117.3,1.15,16.1,34.92,0.82,2
2345,233.65,0.0,1.52,114.44,1.01,15.79,35.08,0.99,3
2346,240.33,0.0,1.89,108.72,1.04,17.33,40.41,1.36,3
2347,247.0,0.0,2.1,100.14,0.92,19.6,49.09,1.88,3
2348,247.0,0.0,2.23,92.98,0.81,20.2,46.96,2.06,3
2349,243.66,0.0,1.99,90.84,0.75,20.38,41.56,1.77,3
2350,236.99,0.0,1.46,91.55,0.72,20.97,39.35,1.44,3
2351,230.31,0.0,0.95,94.41,0.76,21.41,39.55,1.16,3
2352,223.64,0.0,0.63,97.28,0.82,21.52,40.58,0.95,3
2353,220.3,0.0,0.43,100.14,0.83,21.37,42.26,0.82,3
2354,220.3,0.0,0.27,104.43,0.78,20.34,45.38,0.55,3
2355,223.64,0.0,0.27,103.0,0.98,20.12,48.65,0.48,3
2356,226.97,0.01,0.39,98.71,1.73,20.38,51.49,0.43,4
2357,240.33,0.03,0.38,98.71,2.56,20.72,52.77,0.34,4
2358,247.0,0.05,0.39,98.71,3.1,21.05,53.11,0.25,4
2359,247.0,0.06,0.4,98.71,3.76,21.59,54.16,0.2,4
2360,350.48,0.04,0.27,100.14,2.86,19.49,49.42,0.22,3
2361,410.56,0.03,0.21,98.71,2.33,18.4,46.9,0.25,3
2362,393.87,0.03,0.19,95.84,2.18,18.26,46.81,0.28,3
2363,403.88,0.03,0.17,92.98,1.7,18.19,48.14,0.42,3
2364,540.73,0.03,0.16,90.12,0.87,18.33,53.99,0.61,4
2365,660.9,0.02,0.17,90.84,0.38,18.42,59.54,0.68,4
2366,707.63,0.04,0.37,92.98,0.2,17.51,58.55,0.76,4
2367,694.28,0.04,0.61,94.41,0.16,16.08,53.37,0.9,4
2368,694.28,0.01,0.71,94.41,0.16,14.8,49.28,1.0,3
2369,700.95,0.0,1.67,84.4,0.27,14.36,46.06,2.06,3
2370,707.63,0.0,2.66,76.53,0.42,14.26,45.05,3.86,3
2371,707.63,0.0,3.34,73.67,0.53,14.39,44.73,5.64,3
2372,707.63,0.0,3.6,72.96,0.55,14.57,44.45,6.9,3
2373,700.95,0.0,3.21,70.1,0.48,14.9,45.24,7.54,3
2374,680.92,0.0,2.29,65.09,0.37,15.55,46.85,6.84,3
2375,594.14,0.0,1.31,68.67,0.33,17.39,49.82,2.82,3
2376,433.92,0.0,1.14,62.94,0.37,20.14,53.88,1.87,4
2377,340.46,0.0,0.87,59.37,0.31,22.61,60.39,1.2,4
2378,323.77,0.0,0.62,57.94,0.35,24.66,68.69,0.86,4
2379,350.48,0.0,0.59,57.94,1.19,26.44,76.22,0.74,4
2380,400.54,0.02,0.75,60.08,3.28,28.93,84.89,0.57,4
2381,514.03,0.05,0.55,71.53,3.76,30.69,99.04,0.37,4
2382,547.41,0.07,0.48,77.96,3.46,30.6,102.52,0.37,5
2383,554.09,0.08,0.49,83.69,3.34,29.65,99.66,0.36,4
2384,607.49,0.05,0.34,97.28,2.18,24.13,81.25,0.37,4
2385,634.19,0.04,0.28,105.86,1.39,20.83,69.4,0.41,4
2386,674.25,0.04,0.25,111.58,0.81,18.98,64.14,0.58,4
2387,714.3,0.03,0.24,121.59,0.34,16.13,54.56,0.82,4
2388,694.28,0.03,0.26,130.18,0.15,12.66,40.7,0.85,3
2389,654.22,0.03,0.3,134.47,0.13,11.11,34.22,0.74,3
2390,634.19,0.05,0.51,133.04,0.15,11.57,35.15,0.75,3
2391,654.22,0.04,0.87,130.18,0.18,13.03,40.34,0.88,3
2392,687.6,0.01,1.18,127.32,0.23,15.2,49.73,1.03,3
2393,720.98,0.0,1.29,127.32,0.25,17.9,63.15,1.25,4
2394,720.98,0.0,1.22,130.18,0.26,19.62,72.34,1.46,4
2395,727.65,0.0,1.08,128.75,0.26,20.35,72.15,1.35,4
2396,761.03,0.0,0.98,123.02,0.27,19.67,61.23,1.12,4
2397,774.38,0.0,0.86,118.73,0.29,19.32,55.77,1.0,4
2398,761.03,0.0,0.63,120.16,0.26,19.17,55.16,0.89,4
2399,727.65,0.0,0.42,124.45,0.21,18.95,57.25,0.81,4
2400,687.6,0.0,0.29,130.18,0.16,19.23,64.48,0.77,4
2401,660.9,0.0,0.22,133.04,0.14,20.67,78.48,0.75,4
2402,654.22,0.0,0.21,134.47,0.18,23.72,102.01,0.75,5
2403,674.25,0.0,0.26,135.9,0.36,28.99,138.02,0.74,5
2404,707.63,0.01,0.38,137.33,0.86,34.59,176.21,0.72,5
2405,754.36,0.02,0.35,138.76,1.55,41.49,216.65,0.67,5
2406,781.06,0.03,0.34,135.9,2.38,43.8,226.45,0.67,5
2407,801.09,0.04,0.37,133.04,3.31,45.71,230.29,0.65,5
2408,801.09,0.04,0.3,131.61,2.77,46.01,223.15,0.65,5
2409,794.41,0.04,0.29,133.04,2.65,45.04,209.17,0.66,5
2410,801.09,0.04,0.33,134.47,2.74,44.71,203.31,0.66,5
2411,801.09,0.04,0.34,134.47,2.47,45.07,201.9,0.68,5
2412,787.74,0.04,0.32,133.04,1.85,44.95,199.99,0.76,5
2413,774.38,0.03,0.32,131.61,1.3,45.72,208.26,0.86,5
2414,747.68,0.03,0.42,131.61,0.76,46.71,214.83,0.95,5
2415,680.92,0.03,0.64,131.61,0.35,45.08,207.56,1.03,5
2416,594.14,0.01,0.84,135.9,0.17,40.1,174.5,1.05,5
2417,540.73,0.0,1.33,134.47,0.21,35.77,141.18,1.3,5
2418,540.73,0.0,1.89,127.32,0.28,33.94,124.43,1.68,5
2419,554.09,0.0,2.04,123.02,0.33,33.33,119.19,2.0,5
2420,560.76,0.0,1.99,117.3,0.36,34.12,120.02,2.25,5
2421,567.44,0.0,1.8,110.15,0.37,35.77,125.42,2.38,5
2422,567.44,0.0,1.37,104.43,0.36,37.95,136.95,2.31,5
2423,574.11,0.0,1.07,98.71,0.32,40.46,149.72,2.31,5
2424,574.11,0.0,0.89,92.98,0.27,42.34,161.86,2.41,5
2425,580.79,0.0,0.77,87.98,0.23,44.03,171.01,2.47,5
2426,580.79,0.0,0.77,86.55,0.21,44.96,177.53,2.5,5
2427,594.14,0.0,1.06,87.98,0.23,46.02,180.47,2.22,5
2428,627.52,0.02,1.44,100.14,0.34,48.04,186.25,1.76,5
2429,634.19,0.03,0.51,133.04,0.43,44.25,171.27,0.93,5
2430,620.84,0.05,0.49,134.47,0.52,43.68,156.76,0.9,5
2431,607.49,0.05,0.45,135.9,1.45,45.92,154.45,0.84,5
2432,580.79,0.04,0.3,141.62,2.86,41.71,148.34,0.57,5
2433,574.11,0.04,0.28,143.05,3.34,40.78,149.29,0.49,5
2434,580.79,0.04,0.29,141.62,3.16,41.77,151.29,0.49,5
2435,587.46,0.04,0.28,138.76,2.38,42.1,150.74,0.55,5
2436,587.46,0.03,0.26,135.9,1.67,42.42,153.88,0.67,5
2437,587.46,0.03,0.28,135.9,1.15,44.2,165.89,0.8,5
2438,594.14,0.02,0.37,135.9,0.75,47.66,189.85,0.83,5
2439,614.17,0.01,0.5,135.9,0.53,53.1,225.19,0.8,5
2440,627.52,0.0,0.55,134.47,0.4,59.49,267.16,0.76,5
2441,647.54,0.0,0.62,134.47,0.32,65.1,300.88,0.8,5
2442,647.54,0.0,0.74,133.04,0.27,68.06,311.29,0.9,5
2443,640.87,0.0,0.78,133.04,0.23,66.31,296.35,0.99,5
2444,640.87,0.0,0.81,130.18,0.21,61.1,261.32,1.17,5
2445,647.54,0.0,0.8,128.75,0.24,57.38,239.12,1.49,5
2446,660.9,0.0,0.69,127.32,0.26,56.02,232.38,1.66,5
2447,667.57,0.0,0.63,123.02,0.27,56.26,228.98,1.57,5
2448,667.57,0.0,0.59,114.44,0.28,56.11,225.12,1.33,5
2449,667.57,0.0,0.57,108.72,0.29,56.43,221.73,1.06,5
2450,667.57,0.0,0.58,103.0,0.32,56.18,217.77,0.92,5
2451,667.57,0.0,0.69,103.0,0.47,55.48,211.46,0.89,5
2452,674.25,0.01,0.88,107.29,0.89,54.96,207.19,0.78,5
2453,680.92,0.02,0.46,125.89,3.19,53.95,204.31,0.25,5
2454,674.25,0.04,0.42,125.89,4.23,53.02,197.77,0.17,5
2455,667.57,0.05,0.44,124.45,4.41,50.51,184.04,0.2,5
2456,654.22,0.04,0.33,127.32,3.28,43.83,158.42,0.18,5
2457,647.54,0.04,0.27,125.89,2.18,39.17,139.61,0.24,5
2458,654.22,0.03,0.25,124.45,1.61,38.03,135.64,0.32,5
2459,654.22,0.03,0.23,121.59,1.21,37.01,130.88,0.4,5
2460,634.19,0.03,0.23,118.73,0.9,34.6,120.09,0.46,5
2461,634.19,0.02,0.27,117.3,0.79,33.91,115.71,0.53,5
2462,654.22,0.03,0.43,115.87,0.76,33.16,111.32,0.66,5
2463,667.57,0.03,0.72,115.87,0.75,32.74,107.27,0.81,5
2464,674.25,0.01,0.92,114.44,0.66,32.94,105.71,0.9,5
2465,687.6,0.0,1.31,108.72,0.57,34.12,106.98,1.17,5
2466,694.28,0.0,1.91,98.71,0.49,35.38,108.27,1.55,5
2467,700.95,0.0,2.19,92.98,0.41,36.05,107.03,1.77,5
2468,707.63,0.0,2.25,88.69,0.35,36.18,105.25,1.88,5
2469,714.3,0.0,2.06,87.26,0.33,36.31,104.46,2.01,5
2470,720.98,0.0,1.67,86.55,0.34,36.29,105.45,2.12,5
2471,700.95,0.0,1.46,73.67,0.26,36.4,102.78,2.5,5
2472,674.25,0.0,1.33,59.37,0.2,35.89,102.28,2.82,5
2473,660.9,0.0,1.21,53.64,0.19,36.22,107.3,3.04,5
2474,654.22,0.0,1.25,50.78,0.18,36.53,116.04,3.29,5
2475,647.54,0.0,1.69,45.78,0.2,36.98,126.72,3.26,5
2476,654.22,0.09,2.79,42.92,0.29,37.73,135.84,3.04,5
2477,687.6,0.22,2.16,60.8,0.34,40.12,147.51,2.44,5
2478,694.28,0.28,1.99,70.81,0.4,41.99,149.35,2.5,5
2479,707.63,0.22,1.63,85.12,0.45,43.15,149.56,2.5,5
2480,560.76,0.04,0.26,110.15,0.26,25.51,88.47,0.78,4
2481,453.95,0.04,0.26,118.73,0.26,15.07,46.98,0.52,3
2482,397.21,0.04,0.29,123.02,0.29,10.86,30.78,0.44,3
2483,367.17,0.05,0.33,125.89,0.31,8.9,23.66,0.41,3
2484,340.46,0.05,0.38,130.18,0.32,7.73,19.78,0.38,3
2485,327.11,0.05,0.44,131.61,0.31,7.2,18.55,0.36,3
2486,333.79,0.06,0.6,130.18,0.28,7.45,20.77,0.44,3
2487,370.5,0.04,0.75,123.02,0.25,8.86,27.54,0.6,3
2488,397.21,0.01,0.81,115.87,0.25,10.97,39.2,0.74,3
2489,393.87,0.0,2.21,91.55,0.41,11.91,43.18,1.77,3
2490,383.85,0.0,3.3,65.09,0.6,11.71,41.37,3.01,3
2491,367.17,0.0,3.34,49.35,0.69,10.91,37.58,3.99,3
2492,353.81,0.0,2.53,49.35,0.63,10.62,35.46,4.37,3
2493,350.48,0.0,1.59,53.64,0.51,12.95,50.83,3.77,4
2494,353.81,0.0,0.98,57.22,0.52,16.82,70.97,3.2,4
2495,363.83,0.0,0.79,62.94,0.66,18.65,74.64,2.82,4
2496,363.83,0.0,0.75,66.52,0.8,17.98,68.37,2.63,4
2497,360.49,0.0,0.72,70.81,0.88,16.94,68.25,2.38,4
2498,367.17,0.0,0.66,90.84,1.13,18.42,82.76,1.76,4
2499,370.5,0.0,0.8,94.41,1.33,19.77,90.62,1.65,4
2500,373.84,0.02,1.09,95.84,1.57,21.06,96.58,1.57,4
2501,377.18,0.09,1.21,97.28,1.74,21.96,99.34,1.55,4
2502,377.18,0.15,1.32,94.41,1.68,21.84,95.49,1.69,4
2503,373.84,0.18,1.41,101.57,1.58,21.32,90.32,1.9,4
2504,367.17,0.07,0.53,124.45,0.82,19.14,89.97,0.66,4
2505,357.15,0.06,0.46,133.04,0.71,17.57,79.1,0.54,4
2506,353.81,0.06,0.46,137.33,0.7,16.87,72.36,0.55,4
2507,357.15,0.06,0.47,138.76,0.7,16.86,69.12,0.6,4
2508,370.5,0.06,0.47,141.62,0.72,17.47,67.91,0.69,4
2509,383.85,0.05,0.51,143.05,0.75,18.32,69.26,0.74,4
2510,397.21,0.13,1.61,135.9,0.83,19.28,69.3,1.08,4
2511,403.88,0.15,3.64,124.45,0.92,19.06,64.88,1.63,4
2512,407.22,0.03,5.01,110.15,0.97,17.7,56.99,2.09,4
2513,413.9,0.0,5.74,89.41,1.03,16.36,49.59,2.76,3
2514,417.23,0.0,6.26,70.1,1.07,16.34,47.26,3.26,3
2515,420.57,0.0,5.91,63.66,1.01,17.75,51.02,3.29,4
2516,420.57,0.0,4.63,67.95,0.85,19.98,57.96,3.14,4
2517,420.57,0.0,3.21,67.95,0.68,21.49,63.25,3.23,4
2518,417.23,0.0,2.14,63.66,0.54,22.26,66.39,3.58,4
2519,423.91,0.0,1.63,57.22,0.43,23.41,69.94,3.48,4
2520,453.95,0.0,1.41,50.07,0.31,25.61,73.66,2.91,4
2521,507.36,0.0,1.33,48.64,0.29,29.6,78.8,2.25,4
2522,627.52,0.0,0.62,85.12,0.6,37.43,105.58,0.84,5
2523,627.52,0.0,0.43,91.55,0.56,37.13,105.27,0.69,5
2524,620.84,0.01,0.43,92.98,0.72,37.04,105.21,0.61,5
2525,607.49,0.02,0.36,92.98,1.68,36.93,104.17,0.48,5
2526,594.14,0.03,0.36,90.84,3.01,36.91,101.37,0.36,5
2527,580.79,0.05,0.41,90.12,4.23,36.71,100.24,0.23,5
2528,520.71,0.04,0.3,98.71,3.19,31.53,91.96,0.14,4
2529,494.0,0.04,0.3,101.57,2.68,29.56,88.45,0.11,4
2530,500.68,0.05,0.35,101.57,2.89,29.81,86.85,0.05,4
2531,500.68,0.05,0.41,105.86,3.13,29.28,82.6,0.06,4
2532,494.0,0.04,0.39,108.72,2.83,26.65,73.86,0.13,4
2533,494.0,0.04,0.4,108.72,2.41,24.19,66.7,0.21,4
2534,487.33,0.08,1.0,101.57,1.94,22.38,61.14,0.59,4
2535,480.65,0.09,2.14,91.55,1.51,21.87,59.71,1.14,4
2536,473.98,0.02,3.0,82.25,1.19,21.83,60.61,1.57,4
2537,467.3,0.0,3.0,76.53,0.97,21.91,61.63,1.84,4
2538,460.63,0.0,2.79,73.67,0.77,22.12,62.78,1.92,4
2539,447.27,0.0,2.53,74.39,0.53,22.29,65.3,1.95,4
2540,433.92,0.0,2.1,76.53,0.38,22.66,67.56,2.06,4
2541,440.6,0.0,1.89,74.39,0.38,22.91,66.43,2.12,4
2542,440.6,0.0,1.52,73.67,0.39,23.42,66.53,2.06,4
2543,440.6,0.0,1.27,72.24,0.4,23.96,66.7,2.03,4
2544,440.6,0.0,1.09,70.1,0.41,24.5,66.86,1.93,4
2545,440.6,0.0,0.94,68.67,0.41,24.95,66.93,1.71,4
2546,440.6,0.0,0.84,69.38,0.44,25.41,67.45,1.41,4
2547,447.27,0.0,0.83,73.67,0.51,25.86,68.4,1.11,4
2548,460.63,0.01,0.81,81.54,0.63,26.26,69.71,0.8,4
2549,467.3,0.03,0.43,95.84,0.9,26.22,72.34,0.44,4
2550,460.63,0.05,0.41,97.28,1.07,25.84,71.44,0.43,4
2551,453.95,0.06,0.42,97.28,1.33,25.19,68.87,0.44,4
2552,413.9,0.03,0.22,104.43,1.39,22.09,66.86,0.25,4
2553,383.85,0.03,0.17,104.43,1.22,20.14,64.77,0.23,4
2554,370.5,0.02,0.16,103.0,1.16,19.39,63.05,0.25,4
2555,350.48,0.02,0.16,103.0,1.03,18.17,60.4,0.27,4
2556,323.77,0.03,0.18,104.43,0.83,16.8,56.19,0.28,4
2557,303.75,0.03,0.21,104.43,0.66,15.37,51.47,0.28,4
2558,290.39,0.07,0.65,100.14,0.54,13.77,44.71,0.55,3
2559,280.38,0.07,1.36,94.41,0.52,12.61,39.57,0.98,3
2560,273.71,0.01,1.91,87.26,0.54,12.06,37.38,1.31,3
2561,277.04,0.0,1.99,83.69,0.57,12.4,38.67,1.54,3
2562,287.06,0.0,1.89,83.69,0.59,13.85,43.42,1.6,3
2563,317.1,0.0,1.86,85.12,0.59,16.82,54.45,1.55,4
2564,370.5,0.0,1.65,82.25,0.44,22.23,75.58,1.58,4
2565,410.56,0.0,1.32,77.25,0.31,26.56,90.92,1.87,4
2566,427.25,0.0,0.91,75.82,0.28,29.27,98.42,1.9,4
2567,427.25,0.0,0.7,72.96,0.26,30.41,99.59,1.82,4
2568,427.25,0.0,0.62,67.95,0.25,30.83,98.15,1.77,4
2569,420.57,0.0,0.57,64.37,0.24,30.74,98.04,1.63,4
2570,417.23,0.0,0.58,62.94,0.24,30.76,97.11,1.55,4
2571,417.23,0.0,0.71,67.23,0.29,30.51,96.84,1.43,4
2572,413.9,0.02,0.83,76.53,0.4,29.24,92.71,1.06,4
2573,380.52,0.04,0.46,90.12,0.48,24.68,80.0,0.65,4
2574,363.83,0.06,0.45,91.55,0.51,22.64,73.21,0.71,4
2575,360.49,0.07,0.46,91.55,0.56,22.26,71.43,0.86,4
2576,293.73,0.04,0.23,100.14,0.59,14.91,48.8,0.52,3
2577,263.69,0.03,0.19,103.0,0.56,11.64,38.85,0.38,3
2578,247.0,0.03,0.2,101.57,0.51,10.66,36.44,0.32,3
2579,243.66,0.03,0.2,98.71,0.46,10.67,36.71,0.3,3
2580,240.33,0.03,0.21,97.28,0.41,10.67,36.5,0.3,3
2581,233.65,0.03,0.24,95.84,0.39,10.22,35.8,0.29,3
2582,223.64,0.06,0.5,92.98,0.41,10.2,38.04,0.42,3
2583,213.62,0.05,0.86,88.69,0.44,9.99,39.15,0.63,3
2584,208.62,0.01,1.02,84.4,0.46,9.38,36.18,0.82,3
2585,206.95,0.0,1.2,80.11,0.5,8.44,29.65,1.11,2
2586,208.62,0.0,1.46,74.39,0.54,7.56,23.89,1.49,2
2587,206.95,0.0,1.54,69.38,0.56,7.05,20.58,1.76,2
2588,201.94,0.0,1.67,58.65,0.56,6.86,19.23,2.34,1
2589,195.27,0.0,1.52,49.35,0.51,6.82,19.08,2.98,1
2590,190.26,0.0,1.08,46.49,0.45,6.8,19.53,3.52,1
2591,186.92,0.0,0.86,47.92,0.43,6.77,19.86,4.24,1
2592,185.25,0.0,0.73,47.92,0.4,6.83,20.38,4.37,2
2593,185.25,0.0,0.66,47.92,0.38,6.84,20.86,4.12,2
2594,186.92,0.0,0.73,47.92,0.36,6.89,21.6,3.71,2
2595,186.92,0.0,1.16,45.06,0.38,6.9,22.08,3.26,2
2596,190.26,0.09,2.23,41.84,0.47,6.93,22.35,2.95,2
2597,196.93,0.44,3.04,44.35,0.58,7.02,22.44,2.82,2
2598,206.95,0.62,3.77,60.08,0.72,7.16,22.01,2.88,2
2599,233.65,0.43,3.51,90.84,0.86,7.61,22.36,2.76,2
2600,236.99,0.04,0.27,97.28,0.38,8.59,27.53,0.42,2
2601,257.02,0.04,0.24,105.86,0.33,7.72,22.92,0.35,2
2602,273.71,0.04,0.25,110.15,0.31,7.4,20.83,0.37,2
2603,283.72,0.04,0.24,110.15,0.29,7.95,22.88,0.41,2
2604,287.06,0.03,0.22,108.72,0.27,9.83,33.37,0.41,2
2605,277.04,0.03,0.25,107.29,0.22,11.78,46.73,0.36,3
2606,257.02,0.06,0.53,105.86,0.2,11.09,44.17,0.44,3
2607,250.34,0.05,0.87,103.0,0.21,9.5,33.97,0.63,2
2608,253.68,0.01,0.96,101.57,0.24,9.23,31.13,0.8,2
2609,263.69,0.0,1.27,95.84,0.3,9.83,32.91,1.2,2
2610,273.71,0.0,1.74,85.12,0.38,10.46,35.18,1.77,3
2611,273.71,0.0,1.93,75.1,0.42,10.96,37.56,2.15,3
2612,270.37,0.0,1.91,65.09,0.42,11.41,39.87,2.53,3
2613,267.03,0.0,1.52,57.94,0.36,11.94,43.2,2.82,3
2614,263.69,0.0,0.94,55.79,0.31,12.74,46.8,2.95,3
2615,263.69,0.0,0.68,54.36,0.28,13.42,50.26,3.01,4
2616,267.03,0.0,0.6,55.08,0.26,13.94,52.65,3.07,4
2617,270.37,0.0,0.64,57.22,0.24,15.72,61.88,2.88,4
2618,273.71,0.0,0.99,56.51,0.27,16.76,65.24,2.72,4
2619,277.04,0.03,1.71,56.51,0.35,17.35,66.77,2.47,4
2620,277.04,0.08,0.96,75.82,0.3,17.95,71.55,1.6,4
2621,273.71,0.14,1.02,77.25,0.33,17.6,68.41,1.66,4
2622,277.04,0.17,1.14,82.97,0.39,17.0,65.02,1.87,4
2623,247.0,0.05,0.35,108.72,0.27,10.15,33.78,0.55,2
2624,247.0,0.05,0.34,114.44,0.32,8.94,24.5,0.49,2
2625,247.0,0.05,0.33,117.3,0.34,8.47,21.15,0.5,2
2626,240.33,0.05,0.32,117.3,0.36,8.22,19.3,0.49,2
2627,240.33,0.05,0.34,118.73,0.41,8.26,18.11,0.46,2
2628,236.99,0.04,0.38,120.16,0.46,8.71,18.27,0.42,3
2629,240.33,0.09,1.06,113.01,0.51,9.14,19.28,0.67,2
2630,250.34,0.09,2.29,103.0,0.57,9.64,21.41,1.2,2
2631,257.02,0.01,2.83,91.55,0.61,9.89,23.72,1.66,2
2632,257.02,0.0,2.79,82.97,0.63,9.9,24.87,2.09,2
2633,253.68,0.0,2.72,75.1,0.66,9.8,24.42,2.44,2
2634,250.34,0.0,2.36,70.1,0.64,9.69,23.26,2.57,2
2635,240.33,0.0,1.97,62.94,0.6,9.54,21.95,2.82,2
2636,230.31,0.0,1.76,50.78,0.55,9.56,21.74,3.39,2
2637,223.64,0.0,1.5,41.49,0.51,9.61,22.4,3.9,2
2638,216.96,0.0,1.41,35.76,0.47,9.86,23.14,3.93,2
2639,223.64,0.0,1.44,35.41,0.41,10.45,23.87,3.29,2
2640,270.37,0.0,1.26,71.53,0.68,16.89,45.11,1.2,3
2641,267.03,0.0,1.0,74.39,0.7,18.08,48.25,0.91,3
2642,267.03,0.01,0.93,77.96,0.86,18.52,48.7,0.77,3
2643,267.03,0.04,0.69,82.97,1.16,18.73,48.42,0.67,3
2644,263.69,0.07,0.57,86.55,1.83,19.12,48.33,0.52,3
2645,260.35,0.08,0.57,90.84,3.19,20.46,49.2,0.33,3
2646,253.68,0.06,0.41,95.84,4.11,19.63,47.05,0.06,3
2647,253.68,0.06,0.41,100.14,4.53,20.0,47.37,0.0,3
2648,253.68,0.07,0.45,104.43,5.01,21.3,49.59,0.0,3
2649,253.68,0.06,0.43,107.29,4.41,21.09,49.33,0.0,3
2650,253.68,0.05,0.4,104.43,3.49,20.36,48.35,0.02,3
2651,250.34,0.04,0.41,100.14,2.83,19.9,48.2,0.16,3
2652,247.0,0.04,0.5,92.98,1.91,18.48,46.46,0.4,3
2653,243.66,0.03,0.62,85.83,1.13,17.05,44.21,0.61,3
2654,243.66,0.0,0.72,82.25,0.79,15.96,39.88,0.74,3
2655,243.66,0.0,0.89,76.53,0.64,14.19,31.04,0.86,2
2656,243.66,0.0,1.11,70.1,0.51,11.89,21.85,0.92,2
2657,250.34,0.0,1.27,65.8,0.43,10.35,16.84,0.76,2
2658,253.68,0.0,1.39,64.37,0.42,9.66,15.25,0.59,1
2659,253.68,0.0,1.41,62.94,0.41,9.42,15.15,0.53,1
2660,253.68,0.0,1.37,60.8,0.36,9.53,15.92,0.52,1
2661,253.68,0.0,1.31,58.65,0.29,9.32,16.39,0.52,1
2662,250.34,0.0,1.22,56.51,0.22,8.6,15.8,0.52,1
2663,250.34,0.0,1.08,52.93,0.16,7.52,14.15,0.5,1
2664,250.34,0.0,1.1,51.5,0.15,7.36,13.66,0.46,1
2665,253.68,0.01,1.31,49.35,0.15,7.3,13.32,0.44,1
2666,253.68,0.05,1.22,51.5,0.14,6.82,12.51,0.4,1
2667,253.68,0.1,0.98,55.79,0.14,6.71,12.29,0.44,1
2668,253.68,0.11,0.79,61.51,0.18,7.49,13.61,0.54,1
2669,253.68,0.07,0.48,70.81,0.24,8.6,17.67,0.47,1
2670,250.34,0.05,0.36,73.67,0.31,9.18,19.98,0.41,1
2671,250.34,0.04,0.37,74.39,0.43,8.98,18.36,0.41,1
2672,253.68,0.05,0.46,75.82,0.74,8.85,16.51,0.4,1
2673,260.35,0.05,0.51,78.68,1.09,8.92,15.84,0.38,1
2674,263.69,0.04,0.54,81.54,1.21,9.14,16.19,0.36,2
2675,270.37,0.06,0.91,81.54,1.13,9.46,16.77,0.46,2
2676,277.04,0.05,1.33,80.82,1.04,9.86,17.45,0.56,2
2677,280.38,0.01,1.33,79.39,0.91,9.99,17.97,0.53,1
2678,277.04,0.0,1.46,72.96,0.76,9.93,17.59,0.62,1
2679,273.71,0.0,1.65,65.09,0.63,9.85,17.33,0.73,1
2680,270.37,0.0,1.82,59.37,0.54,9.81,17.76,0.82,1
2681,267.03,0.0,1.89,55.79,0.48,9.99,18.47,0.86,1
2682,267.03,0.0,1.54,54.36,0.43,10.25,18.94,0.76,2
2683,263.69,0.0,1.03,56.51,0.37,10.52,19.52,0.65,2
2684,267.03,0.0,0.71,59.37,0.29,10.59,19.77,0.59,2
2685,267.03,0.0,0.55,60.8,0.23,10.32,19.33,0.57,2
2686,270.37,0.0,0.5,64.37,0.31,9.67,17.92,0.52,1
2687,273.71,0.0,0.63,66.52,0.4,9.6,18.08,0.54,1
2688,280.38,0.01,0.8,71.53,0.58,9.9,20.16,0.53,2
2689,270.37,0.03,0.46,87.26,2.18,12.03,28.86,0.02,2
2690,263.69,0.04,0.39,88.69,2.53,12.12,30.36,0.0,2
2691,260.35,0.05,0.34,87.26,2.38,11.84,30.6,0.02,2
2692,260.35,0.03,0.21,85.12,1.46,12.38,35.2,0.12,3
2693,257.02,0.03,0.17,83.69,0.98,12.85,38.51,0.21,3
2694,260.35,0.02,0.16,82.25,0.76,12.8,39.71,0.26,3
2695,260.35,0.03,0.17,81.54,0.55,12.91,40.81,0.32,3
2696,260.35,0.03,0.2,82.97,0.38,13.37,42.48,0.37,3
2697,260.35,0.03,0.25,84.4,0.28,13.82,43.87,0.41,3
2698,260.35,0.08,0.84,80.82,0.24,14.32,43.47,0.73,3
2699,263.69,0.08,1.67,72.96,0.25,14.6,42.63,1.2,3
2700,263.69,0.01,2.01,66.52,0.25,14.63,42.23,1.47,3
2701,263.69,0.0,2.61,56.51,0.26,14.61,41.3,2.09,3
2702,263.69,0.0,3.04,47.21,0.26,14.57,40.33,2.6,3
2703,257.02,0.0,3.04,42.92,0.24,14.49,39.06,2.69,3
2704,253.68,0.0,2.72,42.2,0.18,14.12,37.73,2.57,3
2705,250.34,0.0,2.12,42.56,0.15,13.8,36.45,2.41,3
2706,257.02,0.0,1.63,45.42,0.26,14.08,35.54,2.28,3
